split,filename,prefix,numeric_id,label_index,label_name,n_smoke_boxes,n_fire_boxes
train,AoF00000.jpg,AoF,0,0,Neither,0,0
train,AoF00001.jpg,AoF,1,1,Only_Fire,0,1
train,AoF00002.jpg,AoF,2,2,Only_Smoke,1,0
train,AoF00003.jpg,AoF,3,0,Neither,0,0
train,AoF00004.jpg,AoF,4,0,Neither,0,0
train,AoF00005.jpg,AoF,5,0,Neither,0,0
train,AoF00006.jpg,AoF,6,0,Neither,0,0
train,AoF00007.jpg,AoF,7,0,Neither,0,0
train,AoF00010.jpg,AoF,10,0,Neither,0,0
train,AoF00012.jpg,AoF,12,0,Neither,0,0
train,AoF00013.jpg,AoF,13,0,Neither,0,0
train,AoF00015.jpg,AoF,15,0,Neither,0,0
train,AoF00016.jpg,AoF,16,0,Neither,0,0
train,AoF00017.jpg,AoF,17,0,Neither,0,0
train,AoF00019.jpg,AoF,19,0,Neither,0,0
train,AoF00020.jpg,AoF,20,0,Neither,0,0
train,AoF00021.jpg,AoF,21,0,Neither,0,0
train,AoF00022.jpg,AoF,22,0,Neither,0,0
train,AoF00023.jpg,AoF,23,0,Neither,0,0
train,AoF00024.jpg,AoF,24,0,Neither,0,0
train,AoF00025.jpg,AoF,25,0,Neither,0,0
train,AoF00026.jpg,AoF,26,0,Neither,0,0
train,AoF00027.jpg,AoF,27,0,Neither,0,0
train,AoF00028.jpg,AoF,28,0,Neither,0,0
train,AoF00030.jpg,AoF,30,0,Neither,0,0
train,AoF00031.jpg,AoF,31,0,Neither,0,0
train,AoF00032.jpg,AoF,32,0,Neither,0,0
train,AoF00034.jpg,AoF,34,0,Neither,0,0
train,AoF00035.jpg,AoF,35,0,Neither,0,0
train,AoF00036.jpg,AoF,36,0,Neither,0,0
train,AoF00037.jpg,AoF,37,0,Neither,0,0
train,AoF00038.jpg,AoF,38,0,Neither,0,0
train,AoF00039.jpg,AoF,39,0,Neither,0,0
train,AoF00040.jpg,AoF,40,0,Neither,0,0
train,AoF00042.jpg,AoF,42,0,Neither,0,0
train,AoF00043.jpg,AoF,43,0,Neither,0,0
train,AoF00044.jpg,AoF,44,0,Neither,0,0
train,AoF00045.jpg,AoF,45,0,Neither,0,0
train,AoF00046.jpg,AoF,46,0,Neither,0,0
train,AoF00047.jpg,AoF,47,0,Neither,0,0
train,AoF00048.jpg,AoF,48,0,Neither,0,0
train,AoF00050.jpg,AoF,50,0,Neither,0,0
train,AoF00052.jpg,AoF,52,0,Neither,0,0
train,AoF00053.jpg,AoF,53,0,Neither,0,0
